,,,Dow,,,,,Perry,,,,,Thornton,,,
Date,Rounds,,Kills,Downs,Revives,Headshots,,Kills,Downs,Revives,Headshots,,Kills,Downs,Revives,Headshots
5/4,7,,33,2,2,5,,96,4,1,15,,10,2,3,1
5/6,14,,198,4,2,25,,249,9,3,55,,99,5,6,34
5/6,8,,64,2,1,9,,60,3,0,18,,38,1,2,11
5/7,6,,38,2,1,5,,43,1,1,15,,24,2,0,7
5/21,7,,66,1,4,9,,64,1,0,12,,13,5,0,3
5/21,7,,70,2,2,8,,103,4,1,32,,41,2,2,14
5/21,8,,116,3,3,27,,80,6,0,21,,47,2,5,17
5/21,7,,62,1,2,8,,49,3,0,14,,36,1,0,8
5/21,14,,188,2,4,26,,211,8,0,57,,168,3,4,42
5/22,7,,47,2,2,3,,74,3,2,15,,31,2,0,2
5/22,9,,78,3,4,11,,113,1,2,35,,33,7,2,4
5/22,9,,85,1,4,17,,96,4,2,12,,58,4,0,10
5/23,15,,268,2,6,11,,258,5,0,27,,90,7,2,17
5/24,11,,126,2,2,26,,133,2,2,37,,47,5,0,14
5/24,15,,254,2,8,61,,216,8,1,20,,142,5,3,29
5/24,10,,77,4,7,10,,113,8,3,35,,89,4,3,9
5/27,14,,229,2,5,49,,166,5,5,74,,174,7,1,50
5/28,9,,81,2,2,6,,69,5,2,20,,63,3,3,30
5/28,9,,69,4,3,11,,85,4,3,34,,77,2,1,24
6/2,9,,81,4,2,14,,94,4,0,31,,55,1,2,7
6/2,2,,5,0,0,0,,5,0,0,1,,4,0,0,1
6/2,13,,159,2,3,39,,199,5,1,63,,102,5,2,26
6/2,7,,67,1,1,19,,52,2,1,12,,27,2,0,7
6/2,7,,61,1,2,13,,62,3,0,24,,42,2,1,22
6/2,11,,123,4,3,29,,141,3,2,15,,14,1,0,3
6/2,10,,74,2,4,27,,129,4,2,19,,94,4,2,9
6/3,10,,96,3,5,20,,119,6,2,44,,63,3,2,28
6/3,7,,47,1,0,18,,67,2,0,36,,48,1,1,7
6/8,8,,71,2,0,24,,71,3,1,21,,48,2,3,14
6/8,11,,124,2,1,32,,115,2,1,31,,65,3,1,17
6/13,13,,172,6,2,33,,236,2,6,45,,71,7,2,17
6/13,15,,206,5,9,39,,257,7,4,64,,96,7,1,14
6/14,15,,214,5,6,43,,298,5,5,35,,110,6,2,34
6/15,10,,90,3,4,36,,96,4,2,26,,69,4,2,19
6/15,18,,475,2,5,68,,254,7,2,74,,185,3,0,62